date,id,sent_neg,sent_neu,sent_pos,sent_comp,topic_freq,topic_density
2018-12-29 11:12:12,3871028914975229457,0.027,0.931,0.042,0.0356,0.0,0.0
2018-12-29 11:12:22,8423285000490746005,0.027,0.868,0.105,0.5481,0.0,0.0
2018-12-29 11:12:33,2743653988105279684,0.027,0.868,0.105,0.5481,0.0,0.0
2018-12-29 11:13:21,8770434899212486513,0.0,1.0,0.0,0.0,0.0,0.0
2018-12-29 11:19:00,8522016992598766737,0.064,0.823,0.113,0.9973,4.0,0.004219409282700422
2018-12-29 11:32:12,8076972293878302626,0.027,0.931,0.042,0.0356,0.0,0.0
2018-12-29 11:32:23,4548943705867189417,0.028,0.904,0.067,0.1872,0.0,0.0
2018-12-29 11:32:33,3230465305341883661,0.028,0.927,0.045,0.0356,0.0,0.0
2018-12-29 11:32:43,1775313511583253402,0.041,0.88,0.079,0.3895,0.0,0.0
2018-12-29 11:32:53,5288340902628548754,0.031,0.92,0.049,0.0356,0.0,0.0
2018-12-29 11:40:18,1557198143563296002,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 11:43:00,6045490039515217808,0.014,0.911,0.076,0.9748,1.0,0.0035587188612099642
2018-12-29 11:44:00,1322829651326040818,0.0,1.0,0.0,0.0,0.0,0.0
2018-12-29 11:50:14,5462427674815303505,0.09,0.747,0.163,0.9994,3.0,0.0022354694485842027
2018-12-29 11:52:16,5591202568400774121,0.056,0.832,0.112,0.5911,0.0,0.0
2018-12-29 11:52:36,2633085884563306575,0.051,0.854,0.095,0.4819,0.0,0.0
2018-12-29 11:52:46,8202415355415699052,0.052,0.82,0.128,0.713,0.0,0.0
2018-12-29 11:54:00,1615310644702885982,0.0,0.825,0.175,0.3818,0.0,0.0
2018-12-29 11:54:00,5173539731648170655,0.0,0.825,0.175,0.3818,0.0,0.0
2018-12-29 12:00:00,7721808187083972420,0.05,0.887,0.063,0.9376,2.0,0.003003003003003003
2018-12-29 12:00:00,575699344923868929,0.039,0.858,0.103,0.9929,4.0,0.007920792079207921
2018-12-29 12:00:23,8196277372743225354,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 12:00:50,4984963306198577487,0.051,0.84,0.109,0.994,2.0,0.003205128205128205
2018-12-29 12:09:04,4994592687537939429,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 12:12:08,2005656115285377046,0.051,0.854,0.095,0.4819,0.0,0.0
2018-12-29 12:12:18,1860290255336580244,0.053,0.848,0.099,0.4833,0.0,0.0
2018-12-29 12:12:28,3381109504832266609,0.056,0.832,0.112,0.5911,0.0,0.0
2018-12-29 12:12:38,2726908175117021464,0.053,0.848,0.099,0.4833,0.0,0.0
2018-12-29 12:12:49,8750460860126121637,0.057,0.855,0.088,0.3691,0.0,0.0
2018-12-29 12:12:51,1593506615377069998,0.042,0.785,0.173,0.9999,3.0,0.0022222222222222222
2018-12-29 12:12:59,3407436452761416601,0.051,0.87,0.078,0.3691,0.0,0.0
2018-12-29 12:13:45,543740778461926363,0.057,0.855,0.088,0.3691,0.0,0.0
2018-12-29 12:18:12,4588127533874419842,0.032,0.928,0.041,0.3136,0.0,0.0
2018-12-29 12:23:00,305035816100810562,0.016,0.882,0.102,0.997,20.0,0.03225806451612903
2018-12-29 12:32:10,6756324477818041406,0.057,0.855,0.088,0.3691,0.0,0.0
2018-12-29 12:32:20,701173004168020883,0.051,0.854,0.095,0.4819,0.0,0.0
2018-12-29 12:32:31,9108501271713299357,0.053,0.865,0.082,0.3691,0.0,0.0
2018-12-29 12:32:41,1967670082299113818,0.057,0.855,0.088,0.3691,0.0,0.0
2018-12-29 12:38:37,5227157541801778380,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 12:40:54,4517297727868812731,0.02,0.819,0.161,0.9995,1.0,0.0015625
2018-12-29 12:52:06,3629281912936070554,0.049,0.887,0.064,0.0613,0.0,0.0
2018-12-29 12:52:16,7594852502234634789,0.047,0.918,0.035,-0.2644,0.0,0.0
2018-12-29 12:52:27,5206161735162846338,0.051,0.912,0.038,-0.2644,0.0,0.0
2018-12-29 12:52:37,5161474459246912110,0.045,0.905,0.051,-0.2626,0.0,0.0
2018-12-29 12:52:47,2013725108260809234,0.045,0.921,0.034,-0.2644,0.0,0.0
2018-12-29 12:52:57,4791606735371481834,0.045,0.921,0.034,-0.2644,0.0,0.0
2018-12-29 12:57:03,4508348062214154663,0.0,0.0,0.0,0.0,0.0,0.0
